lat,lon,tempmin,tempmax
-27.755458,26.664608,18.4,35
-27.01149,29.86325,9.3,32.1
-27.467477,27.263627,18.5,35.5
-25.69508,30.04214,11.7,27.8
-26.5544444,27.5863888,14.2,33.9
-26.45272,29.46317,14.8,34.2
-29.163374,26.227589,21.5,35
-27.39035,26.626256,22.1,36
-28.696402,26.478599,22.2,36
-26.351546,27.035624,18.6,32.3
-26.50611,27.61722,19.7,33.2
-26.07462,30.12354,12.8,31.1
-26.937521,27.013913,18.3,34
-27.713133,26.990902,15.8,36.2
-26.974051,27.766912,16.7,34.8
-29.149373,25.807577,21,36.6
-26.14914,28.68932,14.4,33.3
-28.16914,30.25097,13.3,34.2
-26.612082,27.396884,20.7,33.8
-26.51963,29.98971,15.3,31.7
-26.816429,26.302928,19.6,34.4
-26.849488,26.664896,20.3,38.6
-27.1325,27.8991,16.8,32.5
-27.316603,27.03119,17.9,35.6
-28.26942,29.12275,14,32.1
-26.773517,26.426604,20.2,34.7
-27.770665,24.79301,21.3,37.2
-26.50196,28.35837,15.2,33.6
-27.291489,27.965649,18.6,33.8
-27.454478,27.418632,14.8,35.6
-28.287853,26.148568,20.7,36.8
-27.464479,28.04065,19,32
-27.83463,25.90038,17.9,35.3
-27.493304,26.44895,20.5,36.2
-26.908533,25.254446,21.3,35
-26.933158,27.61115,20.4,34.6
-27.240492,27.558637,20.2,36.1
-27.669465,27.214625,20.4,36.7
-27.664436,24.785686,22.1,36.2
-26.343871,26.624136,18.3,34.4
-28.66517,27.43006,19.8,34.5
-26.791515,26.127595,18.6,34.4
-25.77164,29.46442,15.4,32.9
-27.248602,26.689758,19.3,35.9
-27.791459,27.985648,16.8,32.7
-26.338547,27.391634,18.4,33.2
-27.860452,26.700609,19,35
-26.05128,29.05125,14.7,31
-27.859035,26.35822,19.4,36.3
-29.107374,25.412565,21.6,37
-26.059216,27.822758,16.1,32.5
-26.720522,27.073624,21.1,35.8
-28.173431,26.214593,19.9,35.5
-26.554539,27.827545,19.9,33.1
-27.077027,26.522388,21.6,36.1
-27.60599518,26.53858757,18.1,36.8
-27.297488,27.525635,17.3,35.5
-27.655491,26.483095,16.8,36.1
-27.615466,26.599606,18.2,35.8
-27.19347,25.32267,21.3,35.5
-28.32322,27.62064,16,35.8
-26.95164,29.23682,14.4,34.9
-27.93445,27.578635,17.1,34.5
-28.401419,26.718607,21.9,36.5
-28.009441,26.291596,19.9,35.8
-26.796359,28.931891,14,32.3
-29.022382,26.299592,22,35.8
-26.334546,26.832618,19,33.7
-27.081499,26.739612,20.8,35.7
-27.200492,26.915617,18.8,35.4
-27.669489,26.442251,17.4,36.9
-26.989465,27.372444,21.6,34.6
-27.76502,30.79263,15.2,27.2
-26.982458,27.649671,20.5,33.8
-26.761518,26.251599,18.2,33.7
-27.841452,26.363598,19.3,36
-28.095436,26.267595,19.1,35.3
-28.80972,29.53164,13.8,37.9
-25.863928,29.223021,15.2,31.9
-27.19258,25.96722,19.4,35.3
