,lon,lat,value
0,116.366,39.8673,120.964912281
1,116.17,40.2865,104.342105263
2,116.434,39.9522,124.10619469
3,116.434,39.8745,111.421052632
4,116.473,39.9716,113.192982456
5,116.361,39.9425,110.640350877
6,116.315,39.9934,111.973684211
7,116.72,40.1438,106.752212389
8,116.644,40.3937,96.350877193
9,116.23,40.1952,95.1517857143
10,116.407,40.0031,99.3421052632
11,116.225,39.9279,112.807017544
12,117.193,39.173,80.8070175439
13,117.145,39.1654,64.3486238532
14,117.184,39.1205,88.649122807
15,117.237,39.1082,72.5877192982
16,117.202,39.0927,76.5614035088
17,117.1837,39.2133,80.2090909091
18,117.307,39.0877,67.5225225225
19,117.707,39.0343,66.6228070175
20,117.457,38.8394,63.6194690265
21,117.401,39.124,66.9009009009
22,117.764,39.1587,58.6403508772
23,117.157,38.9194,72.9473684211
24,114.4548,38.0513,109.333333333
25,114.6046,38.0398,125.403508772
26,114.5019,38.1398,128.877192982
27,114.4586111,38.00583333,112.00877193
28,114.5330556,38.01777778,119.631578947
29,114.5214,38.0524,116.833333333
30,114.3541,37.9097,67.8533333333
31,118.1662,39.6308,83.2368421053
32,118.144,39.643,94.6929824561
33,118.1853,39.6407,81.3157894737
34,118.2185,39.6679,69.8775510204
35,118.1838,39.65782,85.4649122807
36,118.1997,39.6295,74.4951456311
37,119.5259,39.8283,69.6991150442
38,119.7624,40.0181,73.7345132743
39,119.6023,39.9567,62.6842105263
40,119.607,39.9358,67.9385964912
41,119.5369,39.9419,52.2105263158
42,114.5129,36.61763,77.1140350877
43,114.5426,36.6164,84.9824561404
44,114.5035,36.5776,101.912280702
45,114.4965,36.61981,93.5614035088
46,115.493,38.8632,180.192982456
47,115.5223,38.8957,194.736842105
48,115.4713,38.9108,170.377192982
49,115.4612,38.8416,178.903508772
50,115.442,38.8756,159.877192982
51,115.5214,38.8707,163.412280702
52,114.8985,40.8367,57.9090909091
53,114.892,40.79481,12.3603603604
54,114.8814,40.8115,40.2321428571
55,114.9032,40.7688,17.701754386
56,114.904,40.8725,20.1929824561
57,117.9664,40.9161,66.9210526316
58,117.9525,40.9843,71.2105263158
59,117.963,40.9359,73.850877193
60,117.8184,40.9733,61.8285714286
61,117.9384,41.0112,73.1296296296
62,116.6838,39.5178,102.789473684
63,116.7729,39.5747,107.026315789
64,116.715,39.5571,99.0263157895
65,116.7464,39.5343,104.447368421
66,116.8854,38.2991,86.5087719298
67,116.8584,38.3254,92.7368421053
68,116.8709,38.3228,80.6052631579
69,115.6951,37.7575,129.716814159
70,115.6426,37.7379,138.210526316
71,115.6906,37.739,140.745614035
72,114.4821,37.0967,172.149122807
73,114.5261,37.0533,162.868421053
74,114.5331,37.0964,159.438095238
75,114.4854,37.062,173.813953488
76,112.522,37.8873,68.8859649123
77,112.434,38.0108,47.2368421053
78,112.469,37.7124,86.4210526316
79,112.5583,37.7394,71.7719298246
80,112.5369,37.8692,73.149122807
81,112.57,37.8195,95.2631578947
82,112.549,37.9854,108.236842105
83,112.488,37.7805,123.745614035
84,111.651,40.7579,76.3684210526
85,111.658,40.8033,85.6396396396
86,111.659,40.8452,86.8596491228
